항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
수축기혈압,mmHg,남,25~29세,626997,91.6,103.3,112.1,115.2,118.2,121.4,124.9,128.4,132.7,137.6,140.1,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,25~29세,578414,83.6,87.2,94.3,101.5,108.7,112.3,115.1,117.9,121.5,128.1,133.6,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,30~34세,923379,92.7,105.3,112.6,115.9,119.1,122.5,126,129.5,134,138.6,144.3,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,30~34세,717463,83.7,87.4,94.7,102.1,109.4,112.7,115.6,118.4,122.9,129.1,135.5,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,35~39세,771723,94.8,109.5,113.4,117,120.5,124,127.4,131.1,135.3,139.5,147,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,35~39세,529248,84.1,88.2,96.4,104.5,111,113.9,116.9,119.8,125.2,131.9,137.8,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,40~44세,1102936,94.9,109.7,113.7,117.4,121,124.5,128,131.7,135.9,140.1,148,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,40~44세,895953,84.7,89.3,98.7,108,112.4,115.4,118.5,122.5,127.5,134.7,139.4,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,45~49세,894051,95,110,113.8,117.6,121.3,124.8,128.4,132.2,136.2,141.1,148.5,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,45~49세,714569,85.7,91.4,102.8,111.2,114.4,117.6,121.1,125.6,130.1,137.3,143.2,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,50~54세,1122468,94.7,109.3,113.9,117.8,121.6,125.2,128.8,132.6,136.7,142.3,149.1,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,50~54세,1050795,86.8,93.6,107.2,112.7,116.2,119.6,123.7,127.9,133,138.9,146.3,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,55~59세,882160,95.7,110.2,114.4,118.5,122.4,126.1,129.7,133.6,137.4,143.9,150,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,55~59세,869907,88.3,96.6,110.7,114.4,118.1,121.9,125.9,129.9,134.8,139.9,147.8,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,60~64세,951165,96.8,110.5,115.1,119.7,123.5,127.3,131,134.7,138.3,145.7,152.1,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,60~64세,1023398,90.7,101.4,112.5,116.6,120.7,124.6,128.5,132.7,137,143.7,149.9,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,65~69세,626967,99,111.1,116.2,120.9,124.8,128.6,132.2,135.8,139.3,147.2,154,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,65~69세,657703,94.4,108.8,114.6,119.5,123.5,127.4,131.3,135.1,139,147,154,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,70~74세,515604,101,111.6,117.3,122.1,126.1,130.1,133.6,137.1,141.4,149.1,156.3,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,70~74세,568382,100.1,111.5,117.3,122.2,126.3,130.4,134,137.6,142.4,149.8,157.2,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,75~79세,228820,103.8,112.4,118.7,123.4,127.6,131.5,135,138.5,143.9,151.3,158.1,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,75~79세,246773,107.2,113.1,120.1,124.5,129,132.7,136.2,139.7,145.7,153.6,159.5,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,80~84세,164378,104.2,112.6,119.4,124.1,128.6,132.5,136.1,139.8,145.9,154,159.9,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,80~84세,192497,110.1,114,121.1,125.8,130.4,134,137.7,142.1,147.9,156.4,163.4,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,85세이상,44513,101.2,111.9,118.4,123.5,128.1,132.3,136.2,140.2,146.6,155.4,162.5,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,85세이상,63266,99.8,111.6,118.4,123.4,127.9,132.3,136.4,141,147.4,156.6,164.5,110~180 10 단위 · 끝 구간 80·210 가정
이완기혈압,mmHg,남,19세이하,5725,43.7,47.5,55,62.5,70,72.4,74.9,77.4,79.8,85.3,88.1,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,19세이하,2930,42.7,45.3,50.6,55.9,61.2,66.5,71.1,74.1,77.2,80.8,85.9,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,20~24세,232358,44.2,48.3,56.6,65,71,73.4,75.8,78.2,81.4,86.4,89,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,20~24세,312359,42.7,45.4,50.8,56.2,61.6,67,71.3,74.3,77.4,81.3,86.3,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,25~29세,626997,45.1,50.2,60.4,70.1,72.5,74.9,77.3,79.7,83.6,87.7,89.8,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,25~29세,578414,42.9,45.7,51.4,57.2,62.9,68.6,72.2,75.1,78,82.9,87.2,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,30~34세,923379,46.2,52.4,64.8,71.4,73.9,76.4,78.9,81.9,85.4,89,94.1,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,30~34세,717463,43,46,51.9,57.9,63.9,69.9,72.9,75.8,78.7,84.4,88.2,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,35~39세,771723,48.1,56.2,70.4,73,75.6,78.2,80.9,84,87,90.2,97.3,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,35~39세,529248,43.3,46.6,53.2,59.8,66.4,71.3,74.2,77,79.9,86.1,89.4,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,40~44세,1102936,49.7,59.4,71.2,74,76.8,79.5,82.3,85.2,88,93.2,98.6,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,40~44세,895953,43.7,47.4,54.9,62.3,69.7,72.7,75.5,78.2,82,87.4,90.6,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,45~49세,894051,50.6,61.3,71.7,74.5,77.3,80.1,82.8,85.5,88.2,93.6,98.7,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,45~49세,714569,44.3,48.5,57.1,65.6,71.3,74,76.7,79.4,83.7,88.3,92.6,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,50~54세,1122468,50.7,61.3,71.7,74.5,77.3,80.1,82.8,85.5,88.2,93.4,98.3,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,50~54세,1050795,44.8,49.6,59.2,68.8,72.3,75,77.7,80.5,84.6,88.7,93.5,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,55~59세,882160,50.3,60.6,71.5,74.2,77,79.7,82.4,85.1,87.9,92.3,97.5,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,55~59세,869907,45.2,50.3,60.7,70.3,72.8,75.4,78,80.9,84.8,88.7,92.9,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,60~64세,951165,48.7,57.4,70.7,73.4,76,78.6,81.4,84.3,87.2,90.5,96.4,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,60~64세,1023398,45.2,50.5,60.9,70.3,72.9,75.4,78,80.8,84.7,88.6,92.5,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,65~69세,626967,47.2,54.4,68.8,72.3,74.9,77.4,80,83.2,86.3,89.5,94.9,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,65~69세,657703,45.2,50.4,60.8,70.3,72.9,75.4,78,80.8,84.7,88.6,92.4,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,70~74세,515604,45.8,51.6,63.2,71.1,73.6,76.2,78.7,81.8,85.4,89,93.7,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,70~74세,568382,45.1,50.2,60.3,70.1,72.7,75.3,77.9,80.7,84.7,88.6,92.7,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,75~79세,228820,45,50,60,70,72.6,75.2,77.8,80.6,84.6,88.6,92.7,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,75~79세,246773,44.9,49.9,59.7,69.6,72.5,75.2,77.9,80.8,84.7,88.7,93.2,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,80~84세,164378,44.5,49,58,67,71.8,74.5,77.2,80,84.2,88.5,92.6,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,80~84세,192497,45,50,59.9,69.9,72.7,75.5,78.2,81.3,85.2,89.1,94.1,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,남,85세이상,44513,44.2,48.4,56.7,65.1,71.2,74,76.9,79.7,84,88.4,92.5,70~120 10 단위 · 끝 구간 40·140 가정
이완기혈압,mmHg,여,85세이상,63266,44.8,49.7,59.4,69.1,72.6,75.5,78.4,81.6,85.4,89.2,94.4,70~120 10 단위 · 끝 구간 40·140 가정
공복혈당,mg/dL,남,19세이하,5724,62.4,64.8,69.6,74.4,79.2,84,88.8,93.6,98.3,105.1,108.9,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,19세이하,2930,62.3,64.7,69.4,74.1,78.7,83.4,88.1,92.8,97.5,104.1,108.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,20~24세,232348,62.4,64.8,69.6,74.5,79.3,84.1,88.9,93.7,98.6,105.2,108.9,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,20~24세,312349,62.2,64.5,68.9,73.4,77.8,82.3,86.8,91.2,95.7,100.4,106.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,25~29세,626978,62.6,65.1,70.2,75.3,80.5,85.6,90.7,95.8,101.1,107,110,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,25~29세,578395,62.3,64.6,69.1,73.7,78.2,82.8,87.3,91.9,96.4,102.2,107.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,30~34세,923361,62.8,65.6,71.2,76.7,82.3,87.9,93.5,99.1,104.1,109,118.3,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,30~34세,717449,62.3,64.7,69.4,74.1,78.8,83.5,88.2,92.9,97.6,104.4,108.9,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,35~39세,771711,63.1,66.3,72.5,78.8,85,91.3,97.5,102.6,106.9,115,124.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,35~39세,529249,62.5,64.9,69.9,74.8,79.8,84.7,89.6,94.6,99.5,106.7,112.3,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,40~44세,1102925,63.5,67,74,80.9,87.9,94.9,101.1,105.1,109.2,121.2,134.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,40~44세,895937,62.6,65.2,70.4,75.6,80.8,86,91.2,96.4,101.9,108.4,118.2,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,45~49세,894046,63.9,67.9,75.7,83.6,91.5,99.4,103.6,107.5,114.1,125.3,144,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,45~49세,714569,62.8,65.5,71.1,76.6,82.1,87.7,93.2,98.7,104.4,110.7,122.6,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,50~54세,1122445,64.3,68.7,77.3,86,94.7,101.5,105.5,109.4,118.3,131.8,152,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,50~54세,1050795,63,66,72,78,84,89.9,95.9,101.6,106.7,116.5,125.6,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,55~59세,882154,64.7,69.5,78.9,88.4,97.9,103.1,107.1,112.4,121.3,136.4,156.7,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,55~59세,869895,63.4,66.7,73.5,80.2,86.9,93.7,100.3,104.8,109.3,121.5,133.4,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,60~64세,951151,64.9,69.8,79.7,89.5,99.3,103.9,108,114.4,122.9,138.5,158.2,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,60~64세,1023397,63.6,67.2,74.5,81.7,89,96.2,102.1,106.4,112.1,123.9,137.3,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,65~69세,626958,65,70,79.9,89.9,99.8,104.2,108.4,115.3,123.6,139.1,158.1,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,65~69세,657684,63.8,67.5,75.1,82.6,90.1,97.6,103,107.3,114.2,125.4,139.5,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,70~74세,515595,65,70,79.9,89.9,99.8,104.3,108.6,115.7,124,139.5,157.9,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,70~74세,568363,64.1,68.2,76.4,84.6,92.8,100.6,104.9,109.2,118.1,130.8,147.1,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,75~79세,228797,64.9,69.9,79.7,89.6,99.4,104.1,108.4,115.2,123.6,138.7,156.7,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,75~79세,246766,64.3,68.6,77.2,85.8,94.4,101.5,105.9,110.5,119.9,133.8,151.2,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,80~84세,164367,64.9,69.7,79.4,89.2,98.9,103.8,108.2,114.8,123.2,138.4,156.9,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,80~84세,192498,64.4,68.9,77.7,86.6,95.4,102.1,106.6,112,121.1,135.8,154,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,남,85세이상,44509,64.6,69.1,78.3,87.4,96.6,102.7,106.9,112.5,121.5,136.3,155,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
공복혈당,mg/dL,여,85세이상,63312,64.3,68.5,77.1,85.6,94.2,101.5,106.2,111.9,121.4,137.3,157.6,100/110/126/140/160/180/200 · 끝 구간 60·260 가정
총콜레스테롤,mg/dL,남,19세이하,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,19세이하,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,20~24세,106555,129.8,144,156,165.4,173.5,181.7,190.3,198.8,211.3,228.5,242.9,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,20~24세,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,25~29세,196547,142.4,151.7,165.4,175.1,184.1,192.4,200.9,211.4,222.9,240,257.2,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,25~29세,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,30~34세,233710,146.9,160.3,172.7,183.6,192.5,201.5,210.9,220.5,233.8,252.6,269.3,140~280 20 단위 · 끝 구간 100·340 가정
